sku,location_id,best_model,rmse,mape,forecast_grain,horizon_days,seasonal_periods,allow_TES,allow_DES,min_obs_required
CAL-DOW-6002,1,TES,4.927,0.0584,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
CAL-SHIFT-6001,1,TES,3.7941,34266977456162.9,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
CAL-SHOCK-6003,1,TES,11.9909,24315012747075.523,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
CYC-ECON-4001,1,TES,0.4098,0.1408,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
CYC-PROMO-4002,1,TES,1.255,632092495937182.8,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
LEVEL-FLAT-1001,1,TES,1.9887,0.0223,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
LEVEL-NV-1002,1,TES,1.7113,1867584512547076.5,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
NOISE-OUT-7001,1,TES,25.1365,0.0852,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
NOISE-RAND-7002,1,TES,6.1136,2111063549034507.0,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
PROMO-LAG-5003,1,TES,1.7381,0.2157,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
PROMO-ONE-5001,1,TES,9.3026,0.102,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
PROMO-REC-5002,1,TES,2.7332,0.2066,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
SEAS-ADD-3001,1,TES,3.0141,0.1991,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
SEAS-MULT-3002,1,TES,1.1196,0.1891,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
SEAS-MULTI-3003,1,TES,5.5701,0.1267,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
TREND-BRK-2004,1,TES,4.5537,0.0633,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
TREND-DN-2002,1,TES,1.0331,0.0378,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
TREND-LOG-2003,1,TES,3.0938,0.0481,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
TREND-UP-2001,1,TES,4.8932,0.034,daily,14,7,True,True,"{'SES': 5, 'DES': 10, 'TES': 14}"
